row_key,name,family,width_cm,height_cm,qty,current_price,current_source,engine_name,engine_price,binding_rule,target_price,target_source,delta_current_pct,delta_target_pct,flag,notes
10 בלוקים הדפסה שחור לבן 100 דפים A5,10 בלוקים הדפסה שחור לבן 100 דפים A5,דפים,,,1,406,senzey_price,,,,,,,,NO_ENGINE,
10בלוקים הדפסה צבעוני 100 דפים A5,10בלוקים הדפסה צבעוני 100 דפים A5,דפים,,,1,550,senzey_price,,,,,,,,NO_ENGINE,
130 גרם נייר A4,130 גרם נייר A4,דפים,,,1,3,senzey_price,,,,,,,,NO_ENGINE,
5 בלוקים 100 דפים A4,5 בלוקים 100 דפים A4,דפים,,,1,348,senzey_price,,,,,,,,NO_ENGINE,
5 בלוקים הדפסה צבעונית 100 דפים,5 בלוקים הדפסה צבעונית 100 דפים,דפים,,,1,580,senzey_price,,,,,,,,NO_ENGINE,
"5 בלוקים הדפסה שחור לבן 100 דפים A5, A5, Memopages 5 blocks100pages","5 בלוקים הדפסה שחור לבן 100 דפים A5, A5, Memopages 5 blocks100pages",דפים,,,1,290,senzey_price,,,,,,,,NO_ENGINE,
5 בלוקים הדפסהצבעוני 100 דפים A5,5 בלוקים הדפסהצבעוני 100 דפים A5,דפים,,,1,371,senzey_price,,,,,,,,NO_ENGINE,
A5 דף כרומו 300 גרם,A5 דף כרומו 300 גרם,דפים,,,1,3,senzey_price,,,,,,,,NO_ENGINE,
גלויה,גלויה,דפים,,,1,1,senzey_price,,,,,,,,NO_ENGINE,
דף 130 גרם A3,דף 130 גרם A3,דפים,,,1,3,senzey_price,,,,,,,,NO_ENGINE,
דף 80 גרם A3,דף 80 גרם A3,דפים,,,1,3,senzey_price,,,,,,,,NO_ENGINE,
דף A3 כרומו עם למינציה,דף A3 כרומו עם למינציה,דפים,,,1,11,senzey_price,,,,,,,,NO_ENGINE,
דף A4 צבעוני,דף A4 צבעוני,דפים,,,1,2,senzey_price,,,,,,,,NO_ENGINE,
דף A4 שחור לבן,דף A4 שחור לבן,דפים,,,1,1,senzey_price,,,,,,,,NO_ENGINE,
הדפסה A3 עם ביג ולמנציה,הדפסה A3 עם ביג ולמנציה,דפים,,,1,12,senzey_price,,,,,,,,NO_ENGINE,
הדפסה דף A4 צבעוני,הדפסה דף A4 צבעוני,דפים,,,1,2,senzey_price,,,,,,,,NO_ENGINE,
הדפסה חוברת ספירלה A4 נייר 80 גר 30 דפים,הדפסה חוברת ספירלה A4 נייר 80 גר 30 דפים,דפים,,,1,70,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על דף 300 גרם A3,הדפסה על דף 300 גרם A3,דפים,,,1,6,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על דף A4 על דף כרומו 300 גרם,הדפסה על דף A4 על דף כרומו 300 גרם,דפים,,,1,5,senzey_price,,,,,,,,NO_ENGINE,
הדפסת דפי ממו 20 בלוקים 100 דפים A5,הדפסת דפי ממו 20 בלוקים 100 דפים A5,דפים,,,1,429,senzey_price,,,,,,,,NO_ENGINE,
הזמנה לחתונה,הזמנה לחתונה,דפים,,,1,2,senzey_price,,,,,,,,NO_ENGINE,
חוברות לימוד,חוברות לימוד,דפים,,,1,14,senzey_price,,,,,,,,NO_ENGINE,
חוברת A4,חוברת A4,דפים,,,1,,,,,,,,,,NO_ENGINE,
סט קלפים גובה 12.5 סמ רוחב 3 סמ,סט קלפים גובה 12.5 ס״מ רוחב 3 ס״מ,דפים,,,1,52,senzey_price,,,,,,,,NO_ENGINE,
פרוספקטים שקופים עומדים לדפי A4 מסגרת,פרוספקטים שקופים עומדים לדפי A4 מסגרת,דפים,,,1,70,senzey_price,,,,,,,,NO_ENGINE,
הדפסת תוכניות הנדסיות - לפי מטר רץ,הדפסת תוכניות הנדסיות - לפי מטר רץ,הדפסה,,,1,54,senzey_price,,,,,,,,NO_ENGINE,
אבן בזלת,אבן בזלת,הדפסה על חפצים,,,1,,,,,,,,,,NO_ENGINE,
דגל,דגל,הדפסה על חפצים,,,1,,,,,,,,,,NO_ENGINE,
הדפס על בקבוקי יין,הדפס על בקבוקי יין,הדפסה על חפצים,,,1,78,senzey_price,,,,,,,,NO_ENGINE,
הדפס על כובעים,הדפס על כובעים,הדפסה על חפצים,,,1,100,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על טרמוסים,הדפסה על טרמוסים,הדפסה על חפצים,,,1,100,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על כרית,הדפסה על כרית,הדפסה על חפצים,,,1,96,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על עט,הדפסה על עט,הדפסה על חפצים,,,1,3,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על עטים,הדפסה על עטים,הדפסה על חפצים,,,1,2.9,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על פד לעכבר,הדפסה על פד לעכבר,הדפסה על חפצים,,,1,60,senzey_price,,,,,,,,NO_ENGINE,
הדפסת תמונות על תיק,הדפסת תמונות על תיק,הדפסה על חפצים,,,1,60,senzey_price,,,,,,,,NO_ENGINE,
טג שם,טג שם,הדפסה על חפצים,,,1,,,,,,,,,,NO_ENGINE,
לוח שנה,לוח שנה,הדפסה על חפצים,,,1,,,,,,,,,,NO_ENGINE,
מגן,מגן,הדפסה על חפצים,,,1,,,,,,,,,,NO_ENGINE,
מסגרת A4,מסגרת A4,הדפסה על חפצים,,,1,,,,,,,,,,NO_ENGINE,
פד לעכבר עם תמונה אישית,פד לעכבר עם תמונה אישית,הדפסה על חפצים,,,1,60,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על לוקובונד,הדפסה על לוקובונד,הדפסה על לוקובונד,,,1,,,,,,,,,,NO_ENGINE,
"10 פנקסים הזמנת עבודה A4 מקור + 2 העתקים,","10 פנקסים הזמנת עבודה A4 מקור + 2 העתקים,",הזמנות,,,1,418,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על זכוכית – דת – ברכת הבית – הרב עובדיה יוסף,הדפסה על זכוכית – דת – ברכת הבית – הרב עובדיה יוסף,זכוכית,,,1,130,senzey_price,,,,,,,,,
הדפסה על זכוכית – דת – ברכת העסק – הרב עובדיה יוסף,הדפסה על זכוכית – דת – ברכת העסק – הרב עובדיה יוסף,זכוכית,,,1,62,senzey_price,,,,,,,,,
הדפסה על חולצה,הדפסה על חולצה,חולצה,,,1,57,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות דרייפיט/כותנה,הדפסה על חולצות דרייפיט/כותנה,חולצה,,,1,63,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות חורף - קפוצון,הדפסה על חולצות חורף - קפוצ'ון,חולצה,,,1,60,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות לבית ספר,הדפסה על חולצות לבית ספר,חולצה,,,1,50,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות לבר/בת מצווה,הדפסה על חולצות לבר/בת מצווה,חולצה,,,1,50,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות לגני ילדים,הדפסה על חולצות לגני ילדים,חולצה,,,1,50,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות לדיגיי,הדפסה על חולצות לדיג'יי,חולצה,,,1,50,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות לחתונה,הדפסה על חולצות לחתונה,חולצה,,,1,50,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות לטיול שנתי,הדפסה על חולצות לטיול שנתי,חולצה,,,1,50,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות ליום הולדת,הדפסה על חולצות ליום הולדת,חולצה,,,1,50,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות לימי גיבוש,הדפסה על חולצות לימי גיבוש,חולצה,,,1,50,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות למסיבת רווקים ורווקות,הדפסה על חולצות למסיבת רווקים ורווקות,חולצה,,,1,50,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות למפיקי אירועים,הדפסה על חולצות למפיקי אירועים,חולצה,,,1,50,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות לעסק שלך,הדפסה על חולצות לעסק שלך,חולצה,,,1,50,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות מכוני כושר,הדפסה על חולצות מכוני כושר,חולצה,,,1,50,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות סוף מסלול,הדפסה על חולצות סוף מסלול,חולצה,,,1,50,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות צלמים וצלמות,הדפסה על חולצות צלמים וצלמות,חולצה,,,1,50,senzey_price,,,,,,,,NO_ENGINE,
שירות עיצוב גרפי לחולצה,שירות עיצוב גרפי לחולצה,חולצה,,,1,50,site_price,,,,,,,,NO_ENGINE,
חותמת,חותמת,חותמות,,,1,90,senzey_price,,,,,,,,NO_ENGINE,
חותמת P,חותמת P,חותמות,,,1,119,senzey_price,,,,,,,,NO_ENGINE,
חותמת P60,חותמת P60,חותמות,,,1,143,senzey_price,,,,,,,,NO_ENGINE,
חותמת לעורך דין בעיצוב אישי,חותמת לעורך דין בעיצוב אישי,חותמות,,,1,90,site_price,,,,,,,,NO_ENGINE,
חותמת משרדית לרופא בעיצוב אישי,חותמת משרדית לרופא בעיצוב אישי,חותמות,,,1,90,site_price,,,,,,,,NO_ENGINE,
"חותמת משרדית רואי חשבון,","חותמת משרדית רואי חשבון,",חותמות,,,1,90,site_price,,,,,,,,NO_ENGINE,
חותמת עגולה,חותמת עגולה,חותמות,,,1,160,site_price,,,,,,,,NO_ENGINE,
חותמת עגולה R 542,חותמת עגולה R 542,חותמות,,,1,160,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על ספל כוסות,הדפסה על ספל כוסות,כוסות,,,1,70,senzey_price,,,,52,יעד כיווני: 70 → 49–55,,34.6,NO_ENGINE,
כרטיסי ביקור,כרטיסי ביקור,כרטיסי ביקור,,,1,,,,,,,,,,NO_ENGINE,
הדפסה על מגנט יחידות A5 5000,הדפסה על מגנט יחידות A5 5000,מגנטים,,,1,7900,senzey_price,,,,,,,,NO_ENGINE,
הדפסת מגנט,הדפסת מגנט,מגנטים,,,1,,,,,,,,,,NO_ENGINE,
כרטיסי ביקור מגנט,כרטיסי ביקור מגנט,מגנטים,,,1,,,,,,,,,,NO_ENGINE,
"כרטיסי ביקור מגנט 2000, 1000","כרטיסי ביקור מגנט 2000, 1000",מגנטים,,,1,650,senzey_price,,,,,,,,NO_ENGINE,
כרטיסיות מגנטים,כרטיסיות מגנטים,מגנטים,,,1,35,senzey_price,,,,,,,,NO_ENGINE,
מגנט לאוטו זוג,מגנט לאוטו זוג,מגנטים,,,1,253,senzey_price,,,,,,,,NO_ENGINE,
שקית 1 ליטר מגנטה ES3 ECO,שקית 1 ליטר מג'נטה ES3 ECO,מגנטים,,,1,129.8,senzey_price,,,,,,,,NO_ENGINE,
מדבקות לבקבוק יין בעיצוב אישי לחתונות ואירועים,מדבקות לבקבוק יין בעיצוב אישי לחתונות ואירועים,מדבקות,,,1,75,senzey_price,,,,,,,,,
מדבקות לרכב בעיצוב אישי - חלון אחורי,מדבקות לרכב בעיצוב אישי - חלון אחורי,מדבקות,,,1,249,senzey_price,,,,,,,,,
פאזל,פאזל,מתנות,,,1,60,senzey_price,,,,,,,,NO_ENGINE,
"הדפסה פולדר צד אחד עם למינציה, כיס אחד לפי יחידות","הדפסה פולדר צד אחד עם למינציה, כיס אחד לפי יחידות",פולדר,,,1,15,senzey_price,,,,,,,,NO_ENGINE,
פולדר לגנים לסוף שנה A3 - ללא למנציה,פולדר לגנים לסוף שנה A3 - ללא למנציה,פולדר,,,1,7,senzey_price,,,,,,,,NO_ENGINE,
פולדר לגנים לסוף שנה A3 - עם למינציה,פולדר לגנים לסוף שנה A3 - עם למינציה,פולדר,,,1,10,senzey_price,,,,,,,,NO_ENGINE,
פולדר לגנים לסוף שנה A4 ללא למנציה,פולדר לגנים לסוף שנה A4 ללא למנציה,פולדר,,,1,5,senzey_price,,,,,,,,NO_ENGINE,
פולדר לגנים לסוף שנה A4 עם למינציה,פולדר לגנים לסוף שנה A4 עם למינציה,פולדר,,,1,7,senzey_price,,,,,,,,NO_ENGINE,
שירות עיצוב גרפי לפליירים,שירות עיצוב גרפי לפליירים,פליירים,,,1,120,site_price,,,,,,,,,
"10 פנקסים יומן עבודה A4 מקור + 2 העתקים,","10 פנקסים יומן עבודה A4 מקור + 2 העתקים,",פנקסים,,,1,418,senzey_price,,,,,,,,,
לפי חשבונית מס,לפי חשבונית מס,פנקסים,,,1,,,,,,,,,,NO_PRICE,
הדפסה על קאפה,הדפסה על קאפה,קאפה,,,1,,,,,,,,,,NO_PRICE,
הדפסה על קנבס,הדפסה על קנבס,קנבס,,,1,,,,,,,,,,NO_PRICE,
הדפסה על קנבס – דת – ברכת הבית – הרב עובדיה יוסף,הדפסה על קנבס – דת – ברכת הבית – הרב עובדיה יוסף,קנבס,,,1,62,senzey_price,,,,,,,,,
הדפסה על קנבס – דת – ברכת העסק – הרב עובדיה יוסף,הדפסה על קנבס – דת – ברכת העסק – הרב עובדיה יוסף,קנבס,,,1,62,senzey_price,,,,,,,,,
דוכן מכירות ממותג נייד מתקפל כולל תיק נשיאה עמדה לקידום מכירות,דוכן מכירות ממותג נייד מתקפל כולל תיק נשיאה עמדה לקידום מכירות,רול אפ,,,1,850,senzey_price,,,,,,,,NO_ENGINE,
עמדת שירות,עמדת שירות,רול אפ,,,1,977,senzey_price,,,,,,,,NO_ENGINE,
הדפסת שלט PVS,הדפסת שלט PVS,שלטי PVC,,,1,,,,,,,,,,NO_PRICE,
הדפסה על חולצות 10 יח דרייפיט/כותנה,הדפסה על חולצות 10 יח דרייפיט/כותנה,חולצה,,,10,600,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על חולצות חורף - קפוצון 10 יח,הדפסה על חולצות חורף - קפוצ'ון  10 יח,חולצה,,,10,600,senzey_price,,,,,,,,NO_ENGINE,
כרטיסי ביקור 50 יחי,כרטיסי ביקור 50 יחי,כרטיסי ביקור,,,50,119,senzey_price,,,,,,,,NO_ENGINE,
כרטיסי ביקור 100 יחי,כרטיסי ביקור 100 יחי,כרטיסי ביקור,,,100,157,senzey_price,,,,,,,,NO_ENGINE,
"100 יחידות פולדר הדפסה צד אחד עם כיס 1 עם למינציה,","100 יחידות פולדר הדפסה צד אחד עם כיס 1 עם למינציה,",פולדר,,,100,1000,senzey_price,,,,700,יעד כיווני: 1000 → ~700,,42.9,NO_ENGINE,
כרטיסי ביקור 150 יחי,כרטיסי ביקור 150 יחי,כרטיסי ביקור,,,150,130,senzey_price,,,,,,,,NO_ENGINE,
200 יחידות כרטיסיות עם תלישה,200 יחידות כרטיסיות עם תלישה,דפים,,,200,290,senzey_price,,,,,,,,NO_ENGINE,
הדפסה על מגנט 200 יחי,הדפסה על מגנט 200 יחי,מגנטים,,,200,186,senzey_price,,,,,,,,NO_ENGINE,
כרטיסי ביקור 300 יחי,כרטיסי ביקור 300 יחי,כרטיסי ביקור,,,300,150,senzey_price,,,,,,,,NO_ENGINE,
"כרטיסי ביקור מגנט, 300 יחי","כרטיסי ביקור מגנט, 300 יחי",מגנטים,,,300,186,senzey_price,,,,,,,,NO_ENGINE,
כרטיסי ביקור 400 יחי,כרטיסי ביקור 400 יחי,כרטיסי ביקור,,,400,151,senzey_price,,,,,,,,NO_ENGINE,
500 יחידות עטים,500 יחידות עטים,הדפסה על חפצים,,,500,2146,senzey_price,,,,1025,יעד כיווני: 2146 → 950–1100,,109.4,NO_ENGINE,
כרטיס ביקור 500 יחי,כרטיס ביקור 500 יחי,כרטיסי ביקור,,,500,161,senzey_price,,,,,,,,NO_ENGINE,
כרטיסי ביקור 500 יחי,כרטיסי ביקור 500 יחי,כרטיסי ביקור,,,500,161,senzey_price,,,,,,,,NO_ENGINE,
כרטיס ביקור מגנט 500 יחי,כרטיס ביקור מגנט 500 יחי,מגנטים,,,500,186,senzey_price,,,,,,,,NO_ENGINE,
1000 יחידות פולדר הדפסה דו צדדי עם כיס 1 עם למינציה לבן,1000 יחידות פולדר הדפסה דו צדדי עם כיס 1 עם למינציה לבן,אחר,,,1000,6000,senzey_price,,,,,,,,NO_ENGINE,
כרטיס ביקור 1000 יחי,כרטיס ביקור 1000 יחי,כרטיסי ביקור,,,1000,276,senzey_price,,,,210,יעד כיווני: 276 → ~210,,31.4,NO_ENGINE,
כרטיס ביקור 1000יח לקה סלקטיבית,כרטיס ביקור 1000יח לקה סלקטיבית,כרטיסי ביקור,,,1000,754,senzey_price,,,,210,יעד כיווני: 276 → ~210,,259,NO_ENGINE,
כרטיסי ביקור 1000 יחי,כרטיסי ביקור 1000 יחי,כרטיסי ביקור,,,1000,276,senzey_price,,,,210,יעד כיווני: 276 → ~210,,31.4,NO_ENGINE,
כרטיס ביקור מגנט 1000 יחי,כרטיס ביקור מגנט 1000 יחי,מגנטים,,,1000,348,senzey_price,,,,,,,,NO_ENGINE,
1000 יחידות פולדר הדפסה צד אחד עם כיס 1 עם למינציה,1000 יחידות פולדר הדפסה צד אחד עם כיס 1 עם למינציה,פולדר,,,1000,4639,senzey_price,,,,,,,,NO_ENGINE,
"1000 יחידות פולדר הדפסה צד אחד עם כיס 2 עם למינציה,","1000 יחידות פולדר הדפסה צד אחד עם כיס 2 עם למינציה,",פולדר,,,1000,5219,senzey_price,,,,,,,,NO_ENGINE,
"הדפסה פולדר דו צדדי עם למינציה, כיס אחד 1000 יחידות","הדפסה פולדר דו צדדי עם למינציה, כיס אחד 1000 יחידות",פולדר,,,1000,7200,senzey_price,,,,,,,,NO_ENGINE,
"הדפסה פולדר צד אחד עם למינציה, כיס אחד 1000 יחידות","הדפסה פולדר צד אחד עם למינציה, כיס אחד 1000 יחידות",פולדר,,,1000,5900,senzey_price,,,,,,,,NO_ENGINE,
כרטיסי ביקור 3000 יחי,כרטיסי ביקור 3000 יחי,כרטיסי ביקור,,,3000,696,senzey_price,,,,,,,,NO_ENGINE,
כרטיסי ביקור 5000 יחי,כרטיסי ביקור 5000 יחי,כרטיסי ביקור,,,5000,1102,senzey_price,,,,850,יעד כיווני: ~850,,29.6,NO_ENGINE,
כרטיסי ביקור מגנט 20000 יחי,כרטיסי ביקור מגנט 20000 יחי,מגנטים,,,20000,4400,senzey_price,,,,,,,,NO_ENGINE,
הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 3-3 סמ,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 3-3 ס''מ 100 יחידות,מדבקות,3,3,100,115,senzey_price,anchor_curve,115,מחיר עוגן,,,0,,,
הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 3-3 סמ-q150,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 3-3 ס''מ 150 יחידות,מדבקות,3,3,150,122,senzey_price,anchor_curve,122,מחיר עוגן,,,0,,,
הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 3-3 סמ-q200,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 3-3 ס''מ 200 יחידות,מדבקות,3,3,200,134,senzey_price,anchor_curve,134,מחיר עוגן,,,0,,,
הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 3-3 סמ-q250,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 3-3 ס''מ 250 יחידות,מדבקות,3,3,250,150,senzey_price,anchor_curve,150,מחיר עוגן,,,0,,,
הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 3-3 סמ-q500,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 3-3 ס''מ 500 יחידות,מדבקות,3,3,500,210,senzey_price,anchor_curve,210,מחיר עוגן,,,0,,,
הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 3-3 סמ-q1000,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 3-3 ס''מ 1000 יחידות,מדבקות,3,3,1000,315,senzey_price,anchor_curve,299,מחיר עוגן,299,מדרגת 1000 מאושרת,-5.1,0,REVIEW,
הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 4-4 סמ,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 4-4 ס''מ 100 יחידות,מדבקות,4,4,100,121,senzey_price,anchor_curve,121,מחיר עוגן,,,0,,,
הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 4-4 סמ-q150,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 4-4 ס''מ 150 יחידות,מדבקות,4,4,150,128,senzey_price,anchor_curve,128,מחיר עוגן,,,0,,,
הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 4-4 סמ-q200,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 4-4 ס''מ 200 יחידות,מדבקות,4,4,200,140,senzey_price,anchor_curve,140,מחיר עוגן,,,0,,,
הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 4-4 סמ-q250,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 4-4 ס''מ 250 יחידות,מדבקות,4,4,250,156,senzey_price,anchor_curve,155,מחיר עוגן,,,-0.6,,,
הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 4-4 סמ-q500,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 4-4 ס''מ 500 יחידות,מדבקות,4,4,500,220,senzey_price,anchor_curve,220,מחיר עוגן,,,0,,,
הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 4-4 סמ-q1000,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 4-4 ס''מ 1000 יחידות,מדבקות,4,4,1000,330,senzey_price,anchor_curve,310,מחיר עוגן,310,מדרגת 1000 מאושרת,-6.1,0,REVIEW,
הדפסת שלט גודל 7.5/2.5,הדפסת שלט גודל 7.5/2.5,אחר,7.5,2.5,1,30.26,senzey_price,,,,,,,,NO_ENGINE,
הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-5 סמ,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-5 ס''מ 100 יחידות,מדבקות,5,5,100,126,senzey_price,anchor_curve,126,מחיר עוגן,,,0,,,
הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-5 סמ-q150,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-5 ס''מ 150 יחידות,מדבקות,5,5,150,134,senzey_price,anchor_curve,134,מחיר עוגן,,,0,,,
הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-5 סמ-q200,הדפסת מדבקות בעיצוב אישי עם הלוגו שלכם קוטר 5-5 ס''מ 200 יחידות,מדבקות,5,5,200,147,senzey_price,anchor_curve,145,מחיר עוגן,,,-1.4,,,
